,tr_drvr_code,tr_unit_id,Total_Fuel_Purchased,DriverID_x,EquipmentID_x,odo_min,odo_max,Total_dist_driven,mpg_drvr_truck,DriverID_y,EquipmentID_y,Perf_TotalFuelUsed,Perf_Distance,mpg_perf,diff_fuel_purchased
145,BEVL,1576,131.29000854492188,BEVL,1576,599292.6,600194.6,902.0,6.870286703434663,,,,,,
146,BEVL,1577,5127.72998046875,BEVL,1577,398171.2,479643.3,81472.09999999998,15.888531632968752,BEVL,1577,5684.5,38788.0,6.823467323423344,-556.77001953125
147,BEVL,1617,70.91999816894531,,,,,,,BEVL,1617,168.7,938.0,5.560165975103735,-97.78000183105468
148,BEVL,1768,25.1200008392334,BEVL,1768,421994.7,422241.5,246.79999999998836,9.82484043609292,,,,,,
149,BEVL,310,837.9400024414062,BEVL,310,250319.0,260908.7,10589.700000000012,12.637778324398,BEVL,310,259.5,1944.0,7.491329479768786,578.4400024414062
1016,LOVH,245,533.6500244140625,,,,,,,LOVH,245,7612.300000000005,48038.0,6.3105763041393494,-7078.649975585942
1040,MARC,1958,24910.4296875,MARC,1958,76466.8,264055.8,187589.0,7.53054051468778,MARC,1958,18749.299999999996,146315.0,7.803758006965595,6161.129687500004
1168,NEWR,246,82.27999877929688,,,,,,,NEWR,246,8778.900000000003,54887.0,6.252150041576961,-8696.620001220706
1367,RICS,1920,14759.2900390625,RICS,1920,67749.3,196352.1,128602.8,8.713345944122985,RICS,1920,15060.200000000003,107061.0,7.108869736125681,-300.90996093750255
1368,RICS,2109,4556.5400390625,RICS,2109,3436.3,31922.4,28486.100000000002,6.251695311748202,RICS,2109,320.3,2234.0,6.974711208242272,4236.2400390625
1524,SMID,2021,16177.7001953125,SMID,2021,914.3,120952.2,120037.9,7.419960720670362,SMID,2021,14814.200000000006,114565.0,7.733458438525195,1363.5001953124938
1525,SMID,2131,4356.27978515625,SMID,2131,950.7,32549.0,31598.3,7.25350564205477,SMID,2131,190.60000000000002,1620.0,8.499475341028331,4165.67978515625
